name,shape_id,lat,lon,admin1,admin2
Pinheiro,12082587B61010741695739,-8.229181098502817,40.7165729293367,Portugal,Viseu
Pinheiro,12082587B31887444599905,-7.597815603591624,40.79236005174159,Portugal,Guarda
Pinheiro,12082587B36076469514658,-7.985086725380761,40.94243293256651,Portugal,Viseu
Pinheiro,12082587B32694580339798,-8.152681888433642,41.36881142105605,Portugal,Porto
Pinheiro,12082587B89468245415313,-8.286331557545566,41.41631099813813,Portugal,Braga
Pinheiro,12082587B95870657158247,-8.100366329811337,41.63197353139983,Portugal,Braga
Achada,12082587B21325157392410,-25.25887215198947,37.827415048786925,Portugal,Açores
Achadinha,12082587B54317536184917,-25.278776675200618,37.82871364405415,Portugal,Açores
Agua De Alto,12082587B60203686929963,-25.468436932911047,37.74108210940911,Portugal,Açores
Agua De Pau,12082587B36973951807795,-25.512358082876208,37.73321477446732,Portugal,Açores
Agua Retorta,12082587B94055677821750,-25.170732111693777,37.76712521484951,Portugal,Açores
Agualva,12082587B62064051563548,-27.178967667651044,38.753701719411694,Portugal,Açores
Ajuda Da Bretanha,12082587B13106228863376,-25.76018324961549,37.88820833118939,Portugal,Açores
Algarvia,12082587B62981823299517,-25.231355884407545,37.83293404895775,Portugal,Açores
Almagreira,12082587B95100281164994,-25.103080427471408,36.96149064164091,Portugal,Açores
Altares,12082587B28834823892690,-27.29653231985495,38.76811785394939,Portugal,Açores
Angra (Nossa Senhora Da Conceiɐ,12082587B73637246943390,-27.212557037890118,38.67414796441616,Portugal,Açores
Angra (Santa Luzia),12082587B91730736528403,-27.222409148038107,38.665086568511796,Portugal,Açores
Angra (S-O Pedro),12082587B33559179893993,-27.238480601067415,38.66263428316284,Portugal,Açores
Angra (S-),12082587B85060382842690,-27.224128220577384,38.648798684427405,Portugal,Açores
Arrifes,12082587B31606176635897,-25.70436898515334,37.78971385989793,Portugal,Açores
Bandeiras,12082587B88451821101532,-28.450274258493437,38.531545005996705,Portugal,Açores
Biscoitos,12082587B75395556079794,-27.252340268267105,38.764501425954414,Portugal,Açores
Cabo Da Praia,12082587B63040708952148,-27.053802946289334,38.704925299471725,Portugal,Açores
Cabouco,12082587B73309649552149,-25.56551510975822,37.76788910634934,Portugal,Açores
Calheta,12082587B140409411175,-28.020806442586,38.618984877970206,Portugal,Açores
Calheta De Nesquim,12082587B36693300276053,-28.1027363792918,38.41671889060798,Portugal,Açores
Calhetas,12082587B95287113822240,-25.617803132155732,37.81262005735743,Portugal,Açores
Candelmria,12082587B40833902517809,-27.85492567198943,38.318380179373634,Portugal,Açores
Capelas,12082587B42595437923000,-25.70427759083666,37.83059029975741,Portugal,Açores
Capelo,12082587B51820619284745,-28.781484275522185,38.5853309045368,Portugal,Açores
Castelo Branco,12082587B98561355758236,-28.727365544178433,38.54474030893793,Portugal,Açores
Caveira,12082587B65071454851122,-31.157018792797217,39.43158407127811,Portugal,Açores
Cedros,12082587B68377389104797,-29.53196980276797,38.906251833675974,Portugal,Açores
Cinco Ribeiras,12082587B78808185427556,-27.309926870548605,38.69485419903224,Portugal,Açores
Corvo,12082587B44966576757835,-31.106211795916096,39.70049944635839,Portugal,Açores
Covoada,12082587B10615423286080,-25.72784424149899,37.78531986140153,Portugal,Açores
Cria,12082587B30242187166128,-28.492348206874937,38.49387904192961,Portugal,Açores
Doze Ribeiras,12082587B64183671851821,-27.354740335684223,38.724710513346366,Portugal,Açores
Faial Da Terra,12082587B70892834726349,-25.199425939913255,37.75429386846666,Portugal,Açores
Faj3 De Baixo,12082587B67594057635484,-25.643241950812847,37.76293265132636,Portugal,Açores
Faj3 De Cima,12082587B23885318906566,-25.65610973283366,37.78155950765862,Portugal,Açores
Faj3 Grande,12082587B23639404572673,-31.239143848675738,39.448957831511066,Portugal,Açores
Faj3Zinha,12082587B77643130854850,-31.23772955865994,39.42696495674679,Portugal,Açores
Fazenda,12082587B39835717211182,-31.18157797978934,39.40507001341711,Portugal,Açores
Fenais Da Ajuda,12082587B92773389135725,-25.326422772423765,37.831574255203215,Portugal,Açores
Fenais Da Luz,12082587B87076608731608,-25.63771383167704,37.814845357685805,Portugal,Açores
Feteira,12082587B8044492144362,-28.321055010853332,38.567299215834325,Portugal,Açores
Feteiras,12082587B18285096406024,-25.776148407368492,37.810220330203855,Portugal,Açores
Flamengos,12082587B32691840526346,-28.675533679668664,38.560435495969905,Portugal,Açores
Fonte Do Bastardo,12082587B5484757443492,-27.087035749756215,38.69308029591095,Portugal,Açores
Fontinhas,12082587B66574643241934,-27.117612597231147,38.73966069511825,Portugal,Açores
Furnas,12082587B88977403113687,-25.321473553160285,37.76890867394648,Portugal,Açores
Ginetes,12082587B64520290920964,-25.831584896789376,37.85194171608286,Portugal,Açores
Guadalupe,12082587B36836717790140,-28.035983290098695,39.054567412486215,Portugal,Açores
Horta (Ang5Stias),12082587B23393871706716,-28.637550118785747,38.528810521791975,Portugal,Açores
Horta (Concei54O),12082587B72989727350571,-28.626836817912807,38.54743224456566,Portugal,Açores
Horta (Matriz),12082587B61343148070908,-28.632306296587434,38.53932612808611,Portugal,Açores
Lagoa (Nossa Senhora Do Roscrio),12082587B47770529973106,-25.58508162882515,37.75402267454061,Portugal,Açores
Lagoa (Santa Cruz),12082587B35326304545825,-25.54045693473166,37.752218569456154,Portugal,Açores
Lajedo,12082587B71029365248000,-31.24173855019661,39.38925322039648,Portugal,Açores
Lajes,12082587B51966958970336,-27.100817512815542,38.76773637072526,Portugal,Açores
Lajes Das Flores,12082587B49582692982037,-31.207911040978335,39.395125397672146,Portugal,Açores
Lajes Do Pico,12082587B51139466518298,-28.26581053455107,38.42869000178321,Portugal,Açores
Lomba,12082587B29563821107180,-31.17266962965239,39.42072960283622,Portugal,Açores
Lomba Da Fazenda,12082587B17706995187607,-25.180049210182695,37.82409575986595,Portugal,Açores
Lomba Da Maia,12082587B15637548564214,-25.34611560420845,37.80928701658899,Portugal,Açores
Lomba De S5O Pedro,12082587B65044470960586,-25.302887268182502,37.82048666753277,Portugal,Açores
Luz,12082587B95025332939911,-27.99501597572833,39.02486261444123,Portugal,Açores
Madalena,12082587B34685368316461,-28.478873102310914,38.514830251968675,Portugal,Açores
Maia,12082587B59510082023497,-25.384559091665984,37.80471012214377,Portugal,Açores
Manadas (Santa B7Rbara),12082587B73682951473432,-28.08346020763445,38.64109110336578,Portugal,Açores
Mosteiro,12082587B99548987934846,-31.243160467343696,39.411974503107004,Portugal,Açores
Mosteiros,12082587B88119637232255,-25.81325569539465,37.88262010479105,Portugal,Açores
Nordeste,12082587B42180112206289,-25.15984486598909,37.80472134374504,Portugal,Açores
Norte Grande (Neves),12082587B2635065416761,-28.072099877107377,38.66664816374832,Portugal,Açores
Norte Pequeno,12082587B82961730718388,-28.008979438936464,38.64380735318738,Portugal,Açores
Nossa Senhora Dos Rem7Dios,12082587B95472023883361,-25.21963011995453,37.77539478780302,Portugal,Açores
Pedro Miguel,12082587B70838406580400,-28.648020439485737,38.581291815260684,Portugal,Açores
Pico Da Pedra,12082587B62958704088290,-25.615016010839614,37.79412526913923,Portugal,Açores
Piedade,12082587B78675841004604,-28.056253957333613,38.42338500319994,Portugal,Açores
Pilar Da Bretanha,12082587B99020384422263,-25.78367217328519,37.89502584175132,Portugal,Açores
Ponta Delgada,12082587B85933706261491,-31.21853618125526,39.499683340838665,Portugal,Açores
Ponta Delgada (S7O Jos7),12082587B46450070754454,-25.676944540757404,37.74240516296078,Portugal,Açores
Ponta Delgada (S7O Pedro),12082587B10436265196014,-25.657901469756137,37.75034718720967,Portugal,Açores
Ponta Delgada (S7O Sebasti,12082587B94836688255751,-25.67188877364795,37.75980908592063,Portugal,Açores
Ponta Gar1A,12082587B47264610167520,-25.37642919945897,37.74392569604826,Portugal,Açores
Porto Formoso,12082587B74405812463563,-25.439096354359368,37.808026958570075,Portugal,Açores
Porto Judeu,12082587B33312114197645,-27.160373786098514,38.68818978260082,Portugal,Açores
Porto Martins,12082587B60005640049841,-27.05972777083517,38.68864441190892,Portugal,Açores
Posto Santo,12082587B74958501800008,-27.232691524381334,38.707421853530526,Portugal,Açores
Povoadmo,12082587B32463672322604,-25.252535510325632,37.7699888156834,Portugal,Açores
Praia Da Vit0Ria (Santa Cruz),12082587B29364264470570,-27.093305525330702,38.72337694572119,Portugal,Açores
Praia Do Almoxarife,12082587B26938417335354,-28.639636550021226,38.56426963758778,Portugal,Açores
Praia Do Norte,12082587B9097838720333,-28.74734173047305,38.60018681942389,Portugal,Açores
Prainha,12082587B6741044618315,-28.227564350047675,38.46694970667955,Portugal,Açores
Quatro Ribeiras,12082587B10848282184706,-27.22084166916119,38.77460266796229,Portugal,Açores
Rabo De Peixe,12082587B77581397161809,-25.583550746276938,37.79735785812371,Portugal,Açores
Raminho,12082587B55120320007163,-27.334010727266463,38.77578046536762,Portugal,Açores
Relva,12082587B92029469102134,-25.73480509646626,37.777090856055345,Portugal,Açores
Rem3Dios,12082587B58365115230784,-25.747381877688316,37.873917780547835,Portugal,Açores
Ribeira Ch5,12082587B65936977582597,-25.490738991060656,37.72755651842595,Portugal,Açores
Ribeira Das Ta4Nhas,12082587B43581302281183,-25.412516319667997,37.74924452039056,Portugal,Açores
Ribeira Grande (Concei7,12082587B38940277491792,-25.495061743607344,37.78775156874262,Portugal,Açores
Ribeira Grande (Matriz),12082587B45670557886328,-25.489381775327313,37.80039842085157,Portugal,Açores
Ribeira Quente,12082587B74457983461416,-25.30749752471514,37.74021118456597,Portugal,Açores
Ribeira Seca,12082587B49436921195985,-27.31257704814561,38.393856322287114,Portugal,Açores
Ribeiras,12082587B38408661489708,-28.179638200560326,38.41967010972592,Portugal,Açores
Ribeirinha,12082587B26079536743126,-27.071315667192465,38.274511023618466,Portugal,Açores
Rosais,12082587B24810193420352,-28.254133948419792,38.72685946564465,Portugal,Açores
Rosto Do C5O (Livramento),12082587B80057211050601,-25.60621525730776,37.7602391031976,Portugal,Açores
Rosto Do C5O (S6O Roque),12082587B66647021518274,-25.62597472119199,37.76405489333219,Portugal,Açores
Sal3O,12082587B81549578391960,-28.671628689275806,38.60899377654289,Portugal,Açores
Salga,12082587B59228576264837,-25.293450146259428,37.82045793760424,Portugal,Açores
Santa B3Rbara,12082587B86203627294879,-25.963423411227744,37.831250710948105,Portugal,Açores
Santa Clara,12082587B83123251944886,-25.68952000800098,37.74166116866837,Portugal,Açores
Santa Cruz Da Graciosa,12082587B83712984386197,-28.015762592841714,39.07968911017898,Portugal,Açores
Santa Cruz Das Flores,12082587B38403425906899,-31.18869748008262,39.45895490040505,Portugal,Açores
Santa Luzia,12082587B84873008503304,-28.409930650152425,38.525369947362385,Portugal,Açores
Santana,12082587B87481159599072,-25.24615257588826,37.83593594631116,Portugal,Açores
Santo Amaro,12082587B97673373127191,-28.1625785584136,38.60316926975569,Portugal,Açores
Santo Ant1O,12082587B88377918908394,-27.83227547346958,38.560744924766496,Portugal,Açores
Santo Ant1Nio,12082587B13918850197799,-27.685993819152,38.34178191636912,Portugal,Açores
Santo Ant1Nio De Nordestinho,12082587B2618661131005,-25.21773606264241,37.835192342044174,Portugal,Açores
Santo Esp1Rito,12082587B74485124478991,-25.0487526133844,36.95166774154606,Portugal,Açores
Sdo Bartolomeu De Regatos,12082587B78071977121391,-27.283700517419206,38.70368459252586,Portugal,Açores
Sdo Bento,12082587B74402339997036,-27.197610229812813,38.68014342839704,Portugal,Açores
Sdo Brms,12082587B14419590610467,-25.988957724390122,38.123043326293576,Portugal,Açores
